Body Fat Percentage,Gender,Age,Weight,Height,BMI,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist,Workout Type,Workout Frequency,Session Duration,Calories Burned,Calories Burned Per Hour
24.18,F,39,50.53,1.72,17.18,,,,,,,,,,,,,,,
10.98,M,30,59.44,1.88,16.90,,,,,,,,,,,,,,,
11.05,M,25,69.46,1.97,17.92,,,,,,,,,,,,,,,
18.27,M,23,87.47,1.90,24.32,,,,,,,,,,,,,,,
40.85,F,49,67.21,1.52,29.15,,,,,,,,,,,,,,,
38.62,F,19,78.27,1.54,33.04,,,,,,,,,,,,,,,
33.93,F,31,79.33,1.72,26.83,,,,,,,,,,,,,,,
12.65,M,37,63.84,1.94,16.95,,,,,,,,,,,,,,,
15.92,M,57,52.10,1.81,15.84,,,,,,,,,,,,,,,
32.61,F,34,73.08,1.70,25.16,,,,,,,,,,,,,,,
36.69,F,52,57.91,1.52,25.11,,,,,,,,,,,,,,,
33.67,F,18,61.62,1.45,29.11,,,,,,,,,,,,,,,
40.29,F,41,92.75,1.75,30.21,,,,,,,,,,,,,,,
36.48,F,31,87.37,1.74,28.95,,,,,,,,,,,,,,,
25.85,F,41,56.48,1.76,18.18,,,,,,,,,,,,,,,
13.76,M,33,60.77,1.81,18.64,,,,,,,,,,,,,,,
17.41,M,46,68.46,1.89,19.19,,,,,,,,,,,,,,,
18.76,M,51,59.30,1.75,19.36,,,,,,,,,,,,,,,
42.31,F,59,94.73,1.82,28.45,,,,,,,,,,,,,,,
40.03,F,52,59.16,1.46,27.89,,,,,,,,,,,,,,,
28.62,M,52,82.54,1.74,27.38,,,,,,,,,,,,,,,
41.12,F,30,106.19,1.79,33.02,,,,,,,,,,,,,,,
12.04,M,29,55.94,1.76,17.97,,,,,,,,,,,,,,,
25.72,M,31,92.69,1.79,29.00,,,,,,,,,,,,,,,
20.45,M,29,84.71,1.84,24.98,,,,,,,,,,,,,,,
39.02,F,30,100.23,1.79,31.26,,,,,,,,,,,,,,,
44.57,F,57,67.42,1.48,30.72,,,,,,,,,,,,,,,
16.96,M,56,63.41,1.94,16.90,,,,,,,,,,,,,,,
28.39,M,51,94.96,1.86,27.39,,,,,,,,,,,,,,,
25.46,M,38,104.01,1.95,27.43,,,,,,,,,,,,,,,
36.59,F,23,100.40,1.81,30.58,,,,,,,,,,,,,,,
9.23,M,25,58.19,1.88,16.40,,,,,,,,,,,,,,,
26.74,M,61,72.60,1.74,24.09,,,,,,,,,,,,,,,
22.12,M,21,85.75,1.75,27.91,,,,,,,,,,,,,,,
20.04,M,53,61.48,1.75,20.05,,,,,,,,,,,,,,,
27.90,M,22,108.93,1.83,32.53,,,,,,,,,,,,,,,
37.57,F,41,79.25,1.68,27.95,,,,,,,,,,,,,,,
29.09,M,20,100.49,1.72,33.91,,,,,,,,,,,,,,,
35.94,F,19,101.79,1.82,30.81,,,,,,,,,,,,,,,
34.21,F,24,88.49,1.77,28.40,,,,,,,,,,,,,,,
23.38,F,38,53.74,1.79,16.70,,,,,,,,,,,,,,,
28.51,F,58,52.02,1.74,17.14,,,,,,,,,,,,,,,
19.58,M,33,86.50,1.92,23.49,,,,,,,,,,,,,,,
34.61,M,52,103.61,1.79,32.38,,,,,,,,,,,,,,,
21.34,M,50,69.08,1.78,21.70,,,,,,,,,,,,,,,
11.89,M,37,59.75,1.91,16.32,,,,,,,,,,,,,,,
40.52,F,47,74.06,1.59,29.25,,,,,,,,,,,,,,,
26.55,M,44,87.62,1.79,27.19,,,,,,,,,,,,,,,
26.07,M,61,74.55,1.78,23.53,,,,,,,,,,,,,,,
36.37,F,28,68.57,1.53,29.44,,,,,,,,,,,,,,,
42.47,F,36,101.61,1.75,32.99,,,,,,,,,,,,,,,
27.02,M,45,93.51,1.85,27.40,,,,,,,,,,,,,,,
48.45,F,57,108.11,1.78,33.95,,,,,,,,,,,,,,,
38.44,F,31,90.19,1.72,30.59,,,,,,,,,,,,,,,
26.87,M,47,84.91,1.78,26.88,,,,,,,,,,,,,,,
27.12,F,25,56.50,1.59,22.31,,,,,,,,,,,,,,,
23.08,M,27,97.61,1.88,27.56,,,,,,,,,,,,,,,
15.63,M,39,68.71,1.90,19.05,,,,,,,,,,,,,,,
24.13,M,52,81.70,1.86,23.64,,,,,,,,,,,,,,,
46.80,F,45,73.23,1.45,34.88,,,,,,,,,,,,,,,
18.71,M,25,87.69,1.90,24.30,,,,,,,,,,,,,,,
41.86,F,53,73.70,1.59,29.23,,,,,,,,,,,,,,,
13.43,M,47,60.19,1.96,15.68,,,,,,,,,,,,,,,
28.97,M,28,99.85,1.76,32.27,,,,,,,,,,,,,,,
27.94,M,24,105.37,1.81,32.18,,,,,,,,,,,,,,,
29.42,F,36,50.55,1.51,22.12,,,,,,,,,,,,,,,
17.79,M,38,82.18,1.98,21.04,,,,,,,,,,,,,,,
7.34,M,28,53.77,1.94,14.25,,,,,,,,,,,,,,,
47.90,F,53,104.90,1.75,34.26,,,,,,,,,,,,,,,
40.45,F,24,103.73,1.76,33.61,,,,,,,,,,,,,,,
28.84,M,43,101.52,1.86,29.29,,,,,,,,,,,,,,,
39.13,F,54,60.56,1.50,26.76,,,,,,,,,,,,,,,
27.63,M,41,89.43,1.77,28.66,,,,,,,,,,,,,,,
30.99,F,19,56.84,1.46,26.68,,,,,,,,,,,,,,,
37.93,F,24,90.95,1.70,31.51,,,,,,,,,,,,,,,
49.10,F,63,67.27,1.42,33.34,,,,,,,,,,,,,,,
26.10,M,41,106.68,1.97,27.39,,,,,,,,,,,,,,,
34.93,F,39,66.64,1.60,26.14,,,,,,,,,,,,,,,
49.23,F,65,98.63,1.73,33.07,,,,,,,,,,,,,,,
22.38,M,41,72.99,1.73,24.29,,,,,,,,,,,,,,,
37.18,F,22,86.86,1.67,31.27,,,,,,,,,,,,,,,
44.58,F,62,62.66,1.45,29.77,,,,,,,,,,,,,,,
27.23,F,42,56.03,1.71,19.14,,,,,,,,,,,,,,,
33.13,M,54,109.75,1.89,30.76,,,,,,,,,,,,,,,
47.45,F,48,96.37,1.66,34.84,,,,,,,,,,,,,,,
29.58,F,64,56.41,1.83,16.88,,,,,,,,,,,,,,,
37.38,F,62,70.56,1.72,23.77,,,,,,,,,,,,,,,
47.25,F,61,105.56,1.81,32.19,,,,,,,,,,,,,,,
45.61,F,64,63.23,1.45,30.24,,,,,,,,,,,,,,,
16.12,M,59,58.37,1.93,15.62,,,,,,,,,,,,,,,
28.40,M,44,83.41,1.70,28.74,,,,,,,,,,,,,,,
40.89,F,53,88.72,1.77,28.41,,,,,,,,,,,,,,,
39.63,F,41,86.00,1.70,29.66,,,,,,,,,,,,,,,
13.53,M,42,56.19,1.83,16.73,,,,,,,,,,,,,,,
15.95,M,35,60.40,1.73,20.09,,,,,,,,,,,,,,,
39.05,F,27,87.78,1.66,31.86,,,,,,,,,,,,,,,
25.88,M,54,92.37,1.93,24.72,,,,,,,,,,,,,,,
40.38,F,56,78.13,1.69,27.42,,,,,,,,,,,,,,,
36.74,F,60,51.88,1.48,23.61,,,,,,,,,,,,,,,
18.21,M,59,53.72,1.76,17.37,,,,,,,,,,,,,,,
42.92,F,50,101.34,1.82,30.68,,,,,,,,,,,,,,,
28.84,F,65,51.49,1.79,16.07,,,,,,,,,,,,,,,
28.58,M,62,81.66,1.79,25.44,,,,,,,,,,,,,,,
38.84,F,55,80.77,1.75,26.32,,,,,,,,,,,,,,,
22.02,M,23,83.11,1.74,27.44,,,,,,,,,,,,,,,
35.56,M,56,109.95,1.84,32.40,,,,,,,,,,,,,,,
39.60,F,45,77.92,1.64,28.88,,,,,,,,,,,,,,,
10.49,M,38,55.87,1.93,14.96,,,,,,,,,,,,,,,
41.03,F,61,75.79,1.68,27.00,,,,,,,,,,,,,,,
23.77,F,28,56.48,1.73,18.95,,,,,,,,,,,,,,,
29.39,M,54,104.17,1.94,27.65,,,,,,,,,,,,,,,
30.15,F,27,67.59,1.66,24.45,,,,,,,,,,,,,,,
38.57,F,27,99.54,1.78,31.47,,,,,,,,,,,,,,,
16.97,M,42,74.99,1.96,19.59,,,,,,,,,,,,,,,
34.19,F,45,53.03,1.48,24.37,,,,,,,,,,,,,,,
19.50,M,56,60.20,1.78,19.02,,,,,,,,,,,,,,,
46.62,F,59,78.93,1.57,32.04,,,,,,,,,,,,,,,
29.34,M,36,99.30,1.79,31.05,,,,,,,,,,,,,,,
12.22,M,23,65.72,1.85,19.28,,,,,,,,,,,,,,,
37.65,F,41,70.56,1.59,28.02,,,,,,,,,,,,,,,
22.64,M,42,80.87,1.82,24.32,,,,,,,,,,,,,,,
17.20,M,36,72.07,1.86,20.93,,,,,,,,,,,,,,,
18.31,M,37,82.45,1.95,21.67,,,,,,,,,,,,,,,
30.40,M,56,102.05,1.91,28.10,,,,,,,,,,,,,,,
21.91,M,27,103.43,1.97,26.58,,,,,,,,,,,,,,,
25.09,M,45,77.43,1.73,25.78,,,,,,,,,,,,,,,
43.78,F,55,69.08,1.51,30.44,,,,,,,,,,,,,,,
18.33,M,64,59.44,1.90,16.51,,,,,,,,,,,,,,,
19.81,M,34,79.40,1.84,23.49,,,,,,,,,,,,,,,
25.27,M,41,104.44,1.98,26.70,,,,,,,,,,,,,,,
34.23,M,52,93.30,1.71,32.06,,,,,,,,,,,,,,,
44.08,F,50,88.87,1.68,31.65,,,,,,,,,,,,,,,
16.94,M,47,61.91,1.82,18.61,,,,,,,,,,,,,,,
26.27,F,27,60.05,1.68,21.21,,,,,,,,,,,,,,,
19.48,M,45,81.61,1.97,21.11,,,,,,,,,,,,,,,
23.97,M,50,77.39,1.80,23.90,,,,,,,,,,,,,,,
17.60,M,29,85.83,1.95,22.60,,,,,,,,,,,,,,,
12.53,M,31,66.27,1.92,18.00,,,,,,,,,,,,,,,
47.26,F,51,89.99,1.62,34.11,,,,,,,,,,,,,,,
25.57,M,18,108.29,1.86,31.36,,,,,,,,,,,,,,,
25.67,M,54,78.62,1.79,24.54,,,,,,,,,,,,,,,
28.84,M,56,103.10,1.96,26.80,,,,,,,,,,,,,,,
48.75,F,57,81.47,1.54,34.20,,,,,,,,,,,,,,,
29.34,F,18,73.76,1.70,25.50,,,,,,,,,,,,,,,
21.83,M,57,66.75,1.79,20.77,,,,,,,,,,,,,,,
41.36,F,33,101.94,1.77,32.64,,,,,,,,,,,,,,,
35.47,F,34,88.41,1.79,27.54,,,,,,,,,,,,,,,
37.70,F,42,73.63,1.63,27.86,,,,,,,,,,,,,,,
10.88,M,22,69.36,1.94,18.35,,,,,,,,,,,,,,,
11.20,M,21,65.31,1.86,18.81,,,,,,,,,,,,,,,
26.10,M,60,73.44,1.76,23.75,,,,,,,,,,,,,,,
18.65,M,43,74.50,1.89,20.80,,,,,,,,,,,,,,,
25.42,F,25,56.64,1.65,20.89,,,,,,,,,,,,,,,
31.63,M,60,104.48,1.92,28.36,,,,,,,,,,,,,,,
12.33,M,55,51.11,1.97,13.23,,,,,,,,,,,,,,,
27.78,M,59,74.71,1.72,25.35,,,,,,,,,,,,,,,
35.13,M,63,104.62,1.85,30.70,,,,,,,,,,,,,,,
9.58,M,22,57.83,1.83,17.27,,,,,,,,,,,,,,,
7.90,M,20,60.38,1.93,16.25,,,,,,,,,,,,,,,
17.54,M,22,74.66,1.77,23.90,,,,,,,,,,,,,,,
41.82,F,38,107.09,1.83,32.06,,,,,,,,,,,,,,,
15.90,M,21,82.77,1.91,22.73,,,,,,,,,,,,,,,
46.04,F,56,88.72,1.66,32.13,,,,,,,,,,,,,,,
30.76,M,44,104.30,1.84,30.70,,,,,,,,,,,,,,,
15.99,M,30,61.82,1.71,21.07,,,,,,,,,,,,,,,
25.71,M,53,81.48,1.81,24.76,,,,,,,,,,,,,,,
22.07,M,23,93.65,1.85,27.49,,,,,,,,,,,,,,,
25.69,M,40,83.23,1.75,27.24,,,,,,,,,,,,,,,
41.48,F,46,71.26,1.53,30.25,,,,,,,,,,,,,,,
35.54,F,31,85.60,1.74,28.18,,,,,,,,,,,,,,,
43.93,F,33,107.35,1.76,34.78,,,,,,,,,,,,,,,
18.18,M,62,50.93,1.74,16.77,,,,,,,,,,,,,,,
18.95,M,53,59.46,1.76,19.14,,,,,,,,,,,,,,,
47.07,F,53,72.65,1.47,33.57,,,,,,,,,,,,,,,
42.71,F,57,67.42,1.52,29.16,,,,,,,,,,,,,,,
18.08,M,52,65.27,1.87,18.60,,,,,,,,,,,,,,,
17.23,M,53,51.74,1.71,17.70,,,,,,,,,,,,,,,
32.26,F,47,69.07,1.76,22.38,,,,,,,,,,,,,,,
35.88,F,25,75.61,1.60,29.60,,,,,,,,,,,,,,,
38.31,F,56,72.97,1.69,25.69,,,,,,,,,,,,,,,
33.50,M,62,91.11,1.76,29.53,,,,,,,,,,,,,,,
46.01,F,59,65.11,1.44,31.53,,,,,,,,,,,,,,,
33.07,M,42,101.21,1.75,33.01,,,,,,,,,,,,,,,
43.92,F,52,98.30,1.78,31.14,,,,,,,,,,,,,,,
30.54,F,20,76.55,1.71,26.12,,,,,,,,,,,,,,,
9.22,M,31,57.74,1.95,15.25,,,,,,,,,,,,,,,
39.93,F,25,105.86,1.79,32.99,,,,,,,,,,,,,,,
39.29,F,31,87.35,1.67,31.30,,,,,,,,,,,,,,,
14.83,M,23,63.45,1.72,21.45,,,,,,,,,,,,,,,
17.83,M,24,76.52,1.79,23.76,,,,,,,,,,,,,,,
20.83,F,18,53.42,1.70,18.41,,,,,,,,,,,,,,,
19.01,M,28,91.46,1.95,23.97,,,,,,,,,,,,,,,
20.73,M,47,77.91,1.89,21.77,,,,,,,,,,,,,,,
15.19,M,23,72.10,1.82,21.75,,,,,,,,,,,,,,,
19.06,F,21,50.85,1.76,16.36,,,,,,,,,,,,,,,
42.37,F,48,77.12,1.59,30.61,,,,,,,,,,,,,,,
43.45,F,47,88.04,1.67,31.70,,,,,,,,,,,,,,,
26.42,M,55,82.85,1.82,24.97,,,,,,,,,,,,,,,
34.35,F,41,50.27,1.41,25.26,,,,,,,,,,,,,,,
15.98,M,23,79.42,1.88,22.41,,,,,,,,,,,,,,,
9.94,M,24,54.92,1.79,17.19,,,,,,,,,,,,,,,
15.67,M,46,62.23,1.87,17.74,,,,,,,,,,,,,,,
34.35,F,20,70.46,1.55,29.29,,,,,,,,,,,,,,,
16.22,M,44,70.35,1.95,18.58,,,,,,,,,,,,,,,
40.92,F,56,60.10,1.47,27.87,,,,,,,,,,,,,,,
35.46,M,61,96.61,1.76,31.36,,,,,,,,,,,,,,,
49.44,F,65,88.93,1.64,33.24,,,,,,,,,,,,,,,
27.54,M,38,93.98,1.80,29.17,,,,,,,,,,,,,,,
20.30,M,43,69.97,1.78,22.18,,,,,,,,,,,,,,,
42.33,F,35,82.10,1.58,33.06,,,,,,,,,,,,,,,
39.90,F,54,71.60,1.62,27.40,,,,,,,,,,,,,,,
16.46,M,43,66.94,1.88,18.98,,,,,,,,,,,,,,,
12.63,M,20,70.03,1.86,20.19,,,,,,,,,,,,,,,
18.01,M,57,54.58,1.76,17.58,,,,,,,,,,,,,,,
22.86,M,45,72.04,1.74,23.93,,,,,,,,,,,,,,,
43.40,F,36,98.03,1.70,33.77,,,,,,,,,,,,,,,
25.98,F,18,54.77,1.55,22.70,,,,,,,,,,,,,,,
27.98,F,54,51.70,1.72,17.46,,,,,,,,,,,,,,,
29.80,M,36,97.85,1.76,31.43,,,,,,,,,,,,,,,
45.36,F,60,79.19,1.60,30.80,,,,,,,,,,,,,,,
43.86,F,53,93.52,1.74,30.89,,,,,,,,,,,,,,,
18.98,M,47,67.39,1.82,20.31,,,,,,,,,,,,,,,
27.88,F,36,58.97,1.68,20.83,,,,,,,,,,,,,,,
38.40,F,26,80.77,1.60,31.52,,,,,,,,,,,,,,,
18.61,M,65,51.22,1.76,16.55,,,,,,,,,,,,,,,
40.67,F,29,63.63,1.39,32.83,,,,,,,,,,,,,,,
11.59,M,44,57.24,1.97,14.73,,,,,,,,,,,,,,,
15.03,M,36,73.07,1.95,19.12,,,,,,,,,,,,,,,
48.21,F,57,88.11,1.62,33.75,,,,,,,,,,,,,,,
41.13,F,48,78.67,1.63,29.58,,,,,,,,,,,,,,,
20.78,F,26,54.71,1.80,16.83,,,,,,,,,,,,,,,
10.41,M,24,65.11,1.92,17.57,,,,,,,,,,,,,,,
30.89,F,19,59.87,1.50,26.60,,,,,,,,,,,,,,,
32.04,M,39,101.20,1.76,32.72,,,,,,,,,,,,,,,
23.40,M,48,72.13,1.74,23.80,,,,,,,,,,,,,,,
15.87,M,38,64.56,1.82,19.44,,,,,,,,,,,,,,,
39.18,F,51,63.89,1.53,27.37,,,,,,,,,,,,,,,
44.92,F,44,101.64,1.74,33.50,,,,,,,,,,,,,,,
18.39,M,45,60.58,1.73,20.20,,,,,,,,,,,,,,,
40.72,F,30,86.15,1.62,32.68,,,,,,,,,,,,,,,
50.42,F,63,104.91,1.75,34.45,,,,,,,,,,,,,,,
30.69,F,23,67.97,1.63,25.67,,,,,,,,,,,,,,,
43.94,F,37,109.10,1.79,34.02,,,,,,,,,,,,,,,
43.50,F,35,81.34,1.55,34.05,,,,,,,,,,,,,,,
24.70,M,48,84.47,1.84,24.88,,,,,,,,,,,,,,,
42.09,F,45,90.84,1.71,30.95,,,,,,,,,,,,,,,
42.63,F,29,105.88,1.75,34.47,,,,,,,,,,,,,,,
48.78,F,60,102.22,1.74,33.65,,,,,,,,,,,,,,,
28.23,F,64,51.62,1.81,15.76,,,,,,,,,,,,,,,
48.88,F,59,99.72,1.71,33.92,,,,,,,,,,,,,,,
32.13,M,64,82.30,1.71,28.01,,,,,,,,,,,,,,,
43.26,F,56,78.47,1.62,29.82,,,,,,,,,,,,,,,
38.96,F,52,83.57,1.76,27.00,,,,,,,,,,,,,,,
27.93,M,46,105.46,1.94,27.96,,,,,,,,,,,,,,,
48.36,F,65,95.00,1.71,32.34,,,,,,,,,,,,,,,
16.49,M,40,67.09,1.85,19.58,,,,,,,,,,,,,,,
39.24,F,62,61.58,1.56,25.32,,,,,,,,,,,,,,,
13.43,M,47,60.20,1.96,15.69,,,,,,,,,,,,,,,
30.03,M,50,108.15,1.93,28.94,,,,,,,,,,,,,,,
47.00,F,50,76.95,1.50,34.09,,,,,,,,,,,,,,,
14.51,M,56,57.16,1.96,14.86,,,,,,,,,,,,,,,
36.46,F,21,101.48,1.81,30.86,,,,,,,,,,,,,,,
34.39,M,54,97.55,1.75,31.81,,,,,,,,,,,,,,,
39.00,F,28,71.40,1.50,31.63,,,,,,,,,,,,,,,
37.45,F,44,66.40,1.56,27.28,,,,,,,,,,,,,,,
40.33,F,25,108.99,1.81,33.32,,,,,,,,,,,,,,,
16.94,M,24,75.03,1.81,23.01,,,,,,,,,,,,,,,
40.25,F,18,104.84,1.74,34.59,,,,,,,,,,,,,,,
45.65,F,54,104.20,1.80,32.19,,,,,,,,,,,,,,,
38.66,F,34,96.31,1.79,30.20,,,,,,,,,,,,,,,
27.13,M,33,105.71,1.88,29.78,,,,,,,,,,,,,,,
38.42,F,30,98.34,1.79,30.77,,,,,,,,,,,,,,,
29.97,F,49,66.60,1.82,20.08,,,,,,,,,,,,,,,
40.47,F,30,95.29,1.71,32.48,,,,,,,,,,,,,,,
35.81,F,36,90.65,1.82,27.44,,,,,,,,,,,,,,,
44.37,F,49,93.78,1.71,32.08,,,,,,,,,,,,,,,
35.16,M,63,98.45,1.79,30.72,,,,,,,,,,,,,,,
29.77,F,25,56.69,1.52,24.52,,,,,,,,,,,,,,,
42.33,F,35,105.59,1.79,33.07,,,,,,,,,,,,,,,
45.39,F,56,83.18,1.62,31.59,,,,,,,,,,,,,,,
26.58,F,20,72.37,1.78,22.82,,,,,,,,,,,,,,,
29.75,M,57,104.71,1.96,27.36,,,,,,,,,,,,,,,
44.07,F,46,99.35,1.75,32.41,,,,,,,,,,,,,,,
24.34,F,39,52.10,1.74,17.31,,,,,,,,,,,,,,,
21.20,M,49,82.86,1.95,21.78,,,,,,,,,,,,,,,
31.89,M,50,101.25,1.82,30.49,,,,,,,,,,,,,,,
21.33,M,56,74.79,1.91,20.54,,,,,,,,,,,,,,,
38.07,F,60,65.45,1.63,24.73,,,,,,,,,,,,,,,
44.79,F,46,100.68,1.75,33.01,,,,,,,,,,,,,,,
19.37,M,32,86.38,1.92,23.51,,,,,,,,,,,,,,,
17.89,M,26,81.11,1.86,23.42,,,,,,,,,,,,,,,
45.53,F,55,100.76,1.78,31.90,,,,,,,,,,,,,,,
18.25,M,28,78.25,1.83,23.34,,,,,,,,,,,,,,,
23.24,M,55,85.89,1.96,22.32,,,,,,,,,,,,,,,
14.78,M,41,66.58,1.93,17.96,,,,,,,,,,,,,,,
36.16,F,41,89.51,1.83,26.78,,,,,,,,,,,,,,,
32.69,M,51,97.93,1.78,30.97,,,,,,,,,,,,,,,
45.53,F,53,88.05,1.65,32.28,,,,,,,,,,,,,,,
11.86,M,20,64.76,1.82,19.55,,,,,,,,,,,,,,,
24.80,M,39,99.31,1.93,26.69,,,,,,,,,,,,,,,
31.80,F,50,55.41,1.61,21.42,,,,,,,,,,,,,,,
29.51,F,21,57.46,1.51,25.07,,,,,,,,,,,,,,,
19.64,M,31,88.95,1.93,23.92,,,,,,,,,,,,,,,
12.75,M,25,59.13,1.75,19.34,,,,,,,,,,,,,,,
14.56,M,44,57.58,1.83,17.20,,,,,,,,,,,,,,,
32.06,F,25,70.11,1.63,26.42,,,,,,,,,,,,,,,
21.84,F,19,52.48,1.66,19.05,,,,,,,,,,,,,,,
31.94,M,49,90.34,1.71,30.73,,,,,,,,,,,,,,,
26.81,M,19,94.78,1.72,32.20,,,,,,,,,,,,,,,
15.69,M,18,81.79,1.88,23.13,,,,,,,,,,,,,,,
35.31,F,43,74.48,1.70,25.68,,,,,,,,,,,,,,,
36.36,F,38,77.98,1.68,27.52,,,,,,,,,,,,,,,
33.56,F,30,67.23,1.59,26.72,,,,,,,,,,,,,,,
23.46,M,29,83.57,1.74,27.49,,,,,,,,,,,,,,,
11.06,M,20,73.59,1.97,18.88,,,,,,,,,,,,,,,
34.01,F,62,60.72,1.70,20.96,,,,,,,,,,,,,,,
38.76,F,58,53.11,1.44,25.69,,,,,,,,,,,,,,,
29.96,M,49,106.63,1.92,29.07,,,,,,,,,,,,,,,
